Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS kleurstoffen inclusief azokleurstoffen	4,4'-methyleenbis(2-chlooraniline)	101-14-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	2,4,5-trimethylaniline	137-17-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	3,3'-dimethoxybenzidine	119-90-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4,4'-bi-o-toluïdine	119-93-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4,4'-methyleendianiline	101-77-9	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4,4'-methyleendi-o-toluidine	838-88-0	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4,4'-oxydianiline	101-80-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4,4'-thiodianiline	139-65-1	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4-aminoazobenzeen	60-09-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4-aminobifenyl	92-67-1	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4-chlooraniline	106-47-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4-chloor-o-toluïdine	95-69-2	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	2,4-diaminoanisool	615-05-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	2,4-tolueendiamine	95-80-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	6-methoxy-m-toluïdine	120-71-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	benzidine	92-87-5	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	o-aminoazotolueen	97-56-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	o-toluidine	95-53-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	loodsulfochromaat	1344-37-2	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	loodchromaatmolybdaatsulfaat	12656-85-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	N,N,N',N'-tetramethyl-4,4'-methyleendianiline	101-61-1	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	(methyleenbis(4,1-fenyleenazo(1-(3-(dimethylamino)propyl)-1,2-dihydro-6-hydroxy-4-methyl-2-oxopyridine-5,3-diyl)))-1,1'-dipyridiniumdichloridedihydrochloride	118658-99-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	2-[2-hydroxy-3-(2-chloorfenyl)carbamoyl-1-naftylazo]-7-[2-hydroxy-3-(3-methylfenyl)-carbamoyl-1-naftylazo]fluoreen-9-on	151798-26-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	dinatrium-{5-[(4'-((2,6-dihydroxy-3-((2-hydroxy-5-sulfofenyl)azo)fenyl)azo)(1,1'-bifenyl)-4-yl)azo]salicylato(4-)}cupraat(2-)	16071-86-6	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	dinatrium-4-amino-3-[[4'-[(2,4-diaminofenyl)azo][1,1'-bifenyl]-4-yl]azo]-6-(fenylazo)-5-hydroxynaftaleen-2,7-disulfonaat	1937-37-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	1,4,5,8-tetraaminoantrachinon	2475-45-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	C.I. Basic Blue 26 [met 0,1 procent of meer Michler's keton (EC nr. 202-027-5) of Michler's base (EC No. 202-959-2)]	2580-56-5	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	tetranatrium-3,3'-[[1,1'-bifenyl]-4,4'-diylbis(azo)]bis[5-amino-4-hydroxynaftaleen-2,7-disulfonaat]	2602-46-2	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	C.I. Basic Violet 3 [met 0,1 procent of meer Michler's keton (EG-nr. 202-027-5)]	548-62-9	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol [met 0,1 procent of meer Michler's keton (EC nr. 202-027-5) of Michler's base (EC No. 202-959-2)]	561-41-1	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	C.I. Basic Red 9	569-61-9	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	C.I. Direct Red 28	573-58-0	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	C.I. Solvent Blue 4 [met 0,1 procent of meer Michler's keton (EG-nr. 202-027-5) of Michler's base (EG-nr. 202-959-2)]	6786-83-0	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	kobaltnikkel grijze periklaas	68186-89-0	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	Michler's keton	90-94-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	nikkelbariumtitanium lichtgeel prideriet	68610-24-2	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	azokleurstoffen op basis van benzidine		3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	azokleurstoffen op basis van o-dianisidine		3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	azokleurstoffen op basis van o-tolidine		3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	2-naftylamine	91-59-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	koperacetoarseniet	12002-03-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	kwikoxide	21908-53-2	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	loodcyanide	592-05-2	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	looddioxide	1309-60-0	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	N-ethyl-N-[2-[1-(2-methylpropoxy)ethoxy]ethyl]-4-(fenylazo)aniline	34432-92-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	N,N,N',N',N'',N''-hexamethyl-4,4',4''-methylidynetrianiline 	603-48-5	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
ZZS kleurstoffen inclusief azokleurstoffen	bis[p-(dimethylamino)fenyl][p-(dimethylammonio)fenyl]methylium	14426-25-6	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 a/c het maken van keramische producten door verhitting	Water	Emissie mogelijk
